strategy,entry_time,side,entry_px,sl,tp,exit_px,exit_time,outcome,pnl_pts,reason
OB_MIT,2025-01-29 11:46:00+00:00,BUY,2759.15,2758.3,2760.85,2758.3,2025-01-29T12:02:00.000000000,SL,-0.85,OB_BULL
OB_MIT,2025-01-29 11:51:00+00:00,SELL,2758.56,2759.21,2757.27,2759.21,2025-01-29T11:53:00.000000000,SL,-0.65,OB_BEAR
OB_MIT,2025-01-29 11:56:00+00:00,SELL,2759.42,2760.51,2757.23,2757.23,2025-01-29T12:07:00.000000000,TP,2.19,OB_BEAR
OB_MIT,2025-01-29 12:01:00+00:00,SELL,2758.37,2759.21,2756.69,2756.69,2025-01-29T12:08:00.000000000,TP,1.68,OB_BEAR
OB_MIT,2025-01-29 12:31:00+00:00,BUY,2756.87,2756.28,2758.05,2758.05,2025-01-29T12:34:00.000000000,TP,1.18,OB_BULL
OB_MIT,2025-01-29 12:36:00+00:00,BUY,2757.28,2756.28,2759.28,2756.28,2025-01-29T12:40:00.000000000,SL,-1.0,OB_BULL
OB_MIT,2025-01-29 12:44:00+00:00,BUY,2757.03,2756.28,2758.54,2756.28,2025-01-29T12:52:00.000000000,SL,-0.75,OB_BULL
OB_MIT,2025-01-29 12:49:00+00:00,BUY,2756.81,2756.28,2757.88,2756.28,2025-01-29T12:52:00.000000000,SL,-0.53,OB_BULL
OB_MIT,2025-01-29 12:54:00+00:00,BUY,2756.59,2756.28,2757.22,2756.28,2025-01-29T12:56:00.000000000,SL,-0.31,OB_BULL
OB_MIT,2025-01-29 13:01:00+00:00,SELL,2758.04,2759.21,2755.71,2755.71,2025-01-29T13:07:00.000000000,TP,2.33,OB_BEAR
OB_MIT,2025-01-29 13:06:00+00:00,BUY,2756.6,2756.28,2757.24,2756.28,2025-01-29T13:07:00.000000000,SL,-0.32,OB_BULL
OB_MIT,2025-01-29 13:11:00+00:00,BUY,2756.88,2756.28,2758.08,2756.28,2025-01-29T13:15:00.000000000,SL,-0.6,OB_BULL
OB_MIT,2025-01-29 13:35:00+00:00,BUY,2757.24,2756.28,2759.15,2759.15,2025-01-29T13:55:00.000000000,TP,1.91,OB_BULL
OB_MIT,2025-01-29 13:40:00+00:00,BUY,2757.41,2756.28,2759.67,2759.67,2025-01-29T14:08:00.000000000,TP,2.26,OB_BULL
OB_MIT,2025-01-29 13:45:00+00:00,BUY,2757.14,2756.28,2758.86,2758.86,2025-01-29T13:54:00.000000000,TP,1.72,OB_BULL
OB_MIT,2025-01-29 13:50:00+00:00,BUY,2757.71,2756.28,2760.57,2760.57,2025-01-29T14:08:00.000000000,TP,2.86,OB_BULL
OB_MIT,2025-01-29 13:55:00+00:00,SELL,2759.42,2760.51,2757.24,2760.51,2025-01-29T14:08:00.000000000,SL,-1.09,OB_BEAR
OB_MIT,2025-01-29 14:00:00+00:00,SELL,2758.88,2759.21,2758.2,2759.21,2025-01-29T14:05:00.000000000,SL,-0.33,OB_BEAR
OB_MIT,2025-01-29 14:06:00+00:00,SELL,2759.45,2760.51,2757.33,2760.51,2025-01-29T14:08:00.000000000,SL,-1.06,OB_BEAR
