strategy,entry_time,direction,entry_price,stop_loss,take_profit,exit_price,exit_time,outcome,pnl_pts,reason
VBO_ALL,2025-01-09 13:45:00,SELL,92261.3,92717.11,91278.4,92717.11,2025-01-09 14:30:00,SL,-485.81,VBO_DN
VBO_ALL,2025-01-09 16:00:00,BUY,94233.0,93637.85,95485.24,93637.85,2025-01-09 17:15:00,SL,-625.15,VBO_UP
VBO_ALL,2025-01-10 05:45:00,BUY,94107.6,93753.67,94843.1,93753.67,2025-01-10 06:30:00,SL,-383.93,VBO_UP
VBO_ALL,2025-01-10 07:45:00,BUY,94815.6,94466.85,95523.96,94466.85,2025-01-10 07:45:00,SL,-378.75,VBO_UP
VBO_ALL,2025-01-10 13:45:00,SELL,93534.7,93937.96,92655.41,93937.96,2025-01-10 14:00:00,SL,-433.26,VBO_DN
VBO_ALL,2025-01-10 15:15:00,SELL,92308.8,93025.1,90846.1,93025.1,2025-01-10 15:15:00,SL,-746.3,VBO_DN
VBO_ALL,2025-01-10 18:00:00,BUY,95807.7,94735.12,98065.99,94735.12,2025-01-10 18:30:00,SL,-1102.58,VBO_UP
VBO_ALL,2025-01-13 07:00:00,SELL,93599.6,93970.57,92823.05,92823.05,2025-01-13 08:15:00,TP,746.55,VBO_DN
VBO_ALL,2025-01-13 10:30:00,SELL,91893.2,92348.81,90997.04,90997.04,2025-01-13 11:30:00,TP,866.16,VBO_DN
VBO_ALL,2025-01-13 20:45:00,BUY,92915.0,92216.02,94387.25,94387.25,2025-01-13 21:30:00,TP,1442.25,VBO_UP
VBO_ALL,2025-01-14 08:15:00,BUY,95506.2,95205.48,96142.88,96142.88,2025-01-14 09:15:00,TP,606.68,VBO_UP
VBO_ALL,2025-01-14 09:45:00,BUY,96781.8,96383.98,97630.62,96383.98,2025-01-14 11:15:00,SL,-427.82,VBO_UP
VBO_ALL,2025-01-15 00:30:00,BUY,97224.4,96859.37,97995.66,96859.37,2025-01-15 00:30:00,SL,-395.03,VBO_UP
VBO_ALL,2025-01-15 13:45:00,BUY,98518.9,98121.89,99355.26,99355.26,2025-01-15 14:00:00,TP,806.36,VBO_UP
VBO_ALL,2025-01-15 15:30:00,BUY,99739.2,99221.64,100831.62,99221.64,2025-01-15 15:45:00,SL,-547.56,VBO_UP
VBO_ALL,2025-01-15 20:15:00,BUY,100260.4,99764.67,101287.62,99764.67,2025-01-15 20:30:00,SL,-525.73,VBO_UP
VBO_ALL,2025-01-16 08:45:00,SELL,99027.6,99278.66,98503.01,99278.66,2025-01-16 09:45:00,SL,-281.06,VBO_DN
VBO_ALL,2025-01-16 14:45:00,SELL,98271.8,98723.35,97327.38,97327.38,2025-01-16 15:00:00,TP,914.43,VBO_DN
VBO_ALL,2025-01-17 01:45:00,BUY,101615.2,101167.76,102548.29,101167.76,2025-01-17 02:45:00,SL,-477.44,VBO_UP
VBO_ALL,2025-01-17 10:45:00,BUY,102386.6,102041.15,103063.12,103063.12,2025-01-17 14:30:00,TP,646.52,VBO_UP
VBO_ALL,2025-01-17 15:00:00,BUY,103413.3,102979.71,104346.82,104346.82,2025-01-17 16:00:00,TP,903.52,VBO_UP
VBO_ALL,2025-01-19 22:15:00,SELL,103953.6,104626.12,102547.89,102547.89,2025-01-19 22:45:00,TP,1375.71,VBO_DN
VBO_ALL,2025-01-19 23:30:00,SELL,100443.0,101433.62,98330.8,101433.62,2025-01-19 23:45:00,SL,-1020.62,VBO_DN
VBO_ALL,2025-01-20 06:45:00,BUY,104628.2,103828.34,106277.61,106277.61,2025-01-20 06:45:00,TP,1619.41,VBO_UP
VBO_ALL,2025-01-20 12:30:00,SELL,106541.3,107499.43,104517.44,107499.43,2025-01-20 13:30:00,SL,-988.13,VBO_DN
VBO_ALL,2025-01-20 16:00:00,SELL,104747.0,105781.87,102583.01,105781.87,2025-01-20 16:30:00,SL,-1064.87,VBO_DN
VBO_ALL,2025-01-20 17:45:00,SELL,100585.2,102272.3,97137.0,102272.3,2025-01-20 17:45:00,SL,-1717.1,VBO_DN
VBO_ALL,2025-01-21 01:00:00,SELL,101037.8,101988.1,99099.01,101988.1,2025-01-21 01:00:00,SL,-980.3,VBO_DN
VBO_ALL,2025-01-21 01:30:00,SELL,100365.4,101400.49,98213.29,101400.49,2025-01-21 01:45:00,SL,-1065.09,VBO_DN
