strategy,entry_time,direction,entry_price,stop_loss,take_profit,exit_price,exit_time,outcome,pnl_pts,reason
SWEEPREV_guard,2025-06-09 16:00:00,SELL,107704.3,108822.31,104713.58,108822.31,2025-06-09 16:00:00,SL,-1148.01,SWEEPREV_S
SWEEPREV_guard,2025-06-25 04:00:00,SELL,106311.6,107718.92,104107.92,107718.92,2025-06-25 12:00:00,SL,-1437.32,SWEEPREV_S
SWEEPREV_guard,2025-06-26 04:00:00,SELL,107937.0,108915.71,104933.08,108555.3,2025-06-30 00:00:00,TIME,-648.3,SWEEPREV_S
SWEEPREV_guard,2025-07-01 12:00:00,BUY,106653.4,105929.83,107415.78,105929.83,2025-07-01 12:00:00,SL,-753.57,SWEEPREV_L
SWEEPREV_guard,2025-07-02 00:00:00,BUY,105725.8,104820.94,107151.88,107151.88,2025-07-02 04:00:00,TP,1396.07,SWEEPREV_L
SWEEPREV_guard,2025-07-02 16:00:00,SELL,108811.6,109306.56,107207.9,109306.56,2025-07-02 16:00:00,SL,-524.96,SWEEPREV_S
SWEEPREV_guard,2025-07-03 12:00:00,SELL,109646.8,110835.7,107607.36,107607.36,2025-07-04 12:00:00,TP,2009.44,SWEEPREV_S
SWEEPREV_guard,2025-07-09 16:00:00,SELL,109102.6,110203.95,108528.6,110203.95,2025-07-09 16:00:00,SL,-1131.35,SWEEPREV_S
SWEEPREV_guard,2025-07-11 12:00:00,SELL,117840.5,119681.31,111428.8,119681.31,2025-07-14 00:00:00,SL,-1870.81,SWEEPREV_S
SWEEPREV_guard,2025-07-22 04:00:00,BUY,117277.8,115416.24,118352.12,118352.12,2025-07-22 04:00:00,TP,1044.32,SWEEPREV_L
SWEEPREV_guard,2025-08-01 00:00:00,BUY,115759.6,114897.69,117901.2,114897.69,2025-08-01 00:00:00,SL,-891.91,SWEEPREV_L
SWEEPREV_guard,2025-08-01 12:00:00,BUY,115255.6,113445.55,117452.91,113445.55,2025-08-01 16:00:00,SL,-1840.05,SWEEPREV_L
SWEEPREV_guard,2025-08-03 20:00:00,BUY,114435.1,112375.18,116830.98,114130.6,2025-08-05 20:00:00,TIME,-334.5,SWEEPREV_L
SWEEPREV_guard,2025-08-07 16:00:00,SELL,116746.6,117431.71,114667.05,117431.71,2025-08-07 16:00:00,SL,-715.11,SWEEPREV_S
SWEEPREV_guard,2025-08-08 00:00:00,SELL,117535.4,118227.83,114956.62,118227.83,2025-08-10 20:00:00,SL,-722.43,SWEEPREV_S
SWEEPREV_guard,2025-08-11 08:00:00,SELL,121501.1,122951.32,116740.35,120561.1,2025-08-13 08:00:00,TIME,910.0,SWEEPREV_S
SWEEPREV_guard,2025-08-14 04:00:00,SELL,123414.9,125179.58,120371.8,120371.8,2025-08-14 12:00:00,TP,3013.1,SWEEPREV_S
SWEEPREV_guard,2025-08-14 20:00:00,BUY,118013.0,116432.15,120177.12,116432.15,2025-08-18 00:00:00,SL,-1610.85,SWEEPREV_L
SWEEPREV_guard,2025-08-18 08:00:00,BUY,115294.4,114243.29,119273.16,114243.29,2025-08-19 12:00:00,SL,-1081.11,SWEEPREV_L
SWEEPREV_guard,2025-08-20 04:00:00,BUY,113524.1,111914.64,115986.33,113043.6,2025-08-22 04:00:00,TIME,-510.5,SWEEPREV_L
SWEEPREV_guard,2025-08-22 20:00:00,SELL,116668.0,118129.95,113599.46,113599.46,2025-08-24 20:00:00,TP,3038.54,SWEEPREV_S
SWEEPREV_guard,2025-08-25 16:00:00,BUY,112229.8,109670.75,113490.66,109670.75,2025-08-25 20:00:00,SL,-2589.05,SWEEPREV_L
SWEEPREV_guard,2025-08-26 04:00:00,BUY,109902.2,107736.18,112931.39,112931.39,2025-08-28 04:00:00,TP,2999.19,SWEEPREV_L
SWEEPREV_guard,2025-08-28 16:00:00,SELL,112697.8,114118.46,111335.32,111335.32,2025-08-29 00:00:00,TP,1332.48,SWEEPREV_S
SWEEPREV_guard,2025-08-29 20:00:00,BUY,108231.6,107278.46,111270.77,107278.46,2025-09-01 04:00:00,SL,-983.14,SWEEPREV_L
