strategy,entry_time,side,entry_px,sl,tp,exit_px,exit_time,outcome,pnl_pts,pnl_usd,gated_reason_at_entry
SESSION_BREAKOUT,2026-05-04T13:34:00+00:00,SELL,4557.225,4575.945,4529.77,4576.195,2026-05-04T14:20:00+00:00,SL,-18.97,-37.94,"session_vol: in window (13.57h UTC), vol=NORMAL"
KRONOS_S96_H1_MOMENTUM,2026-05-04T16:45:00+00:00,SELL,4521.58,4542.1,3829.79,4542.35,2026-05-05T01:37:00+00:00,TRAIL,-20.77,-41.54,"trending: trend=TRENDING, h4_bias=long"
SESSION_BREAKOUT,2026-05-06T13:34:00+00:00,BUY,4692.88,4669.02,4728.05,4687.26,2026-05-06T16:34:00+00:00,TIME,-5.62,-11.24,"session_vol: in window (13.57h UTC), vol=NORMAL"
SESSION_BREAKOUT,2026-05-07T13:34:00+00:00,BUY,4750.69,4731.38,4779.03,4731.13,2026-05-07T15:52:00+00:00,SL,-19.56,-39.12,"session_vol: in window (13.57h UTC), vol=NORMAL"
SESSION_BREAKOUT,2026-05-08T13:34:00+00:00,BUY,4729.39,4716.51,4748.09,4747.84,2026-05-08T14:00:00+00:00,TP,18.45,36.9,"session_vol: in window (13.57h UTC), vol=NORMAL"
KRONOS_S95_SESSION_BREAKOUT,2026-05-11T07:19:00+00:00,SELL,4673.215,4680.49,4662.93,4663.18,2026-05-11T09:23:00+00:00,TP,10.035,20.07,"session_vol: in window (7.32h UTC), vol=NORMAL"
SESSION_BREAKOUT,2026-05-11T07:44:00+00:00,SELL,4671.845,4680.385,4659.66,4659.91,2026-05-11T09:24:00+00:00,TP,11.935,23.87,"session_vol: in window (7.73h UTC), vol=NORMAL"
SESSION_BREAKOUT,2026-05-11T13:59:00+00:00,BUY,4735.965,4698.82,4791.06,4716.255,2026-05-11T16:59:00+00:00,TIME,-19.71,-39.42,"session_vol: in window (13.98h UTC), vol=NORMAL"
SESSION_BREAKOUT,2026-05-12T13:59:00+00:00,SELL,4679.16,4709.025,4634.99,4671.625,2026-05-12T16:59:00+00:00,TIME,7.535,15.07,"session_vol: in window (13.98h UTC), vol=NORMAL"
KRONOS_S95_SESSION_BREAKOUT,2026-05-14T08:34:00+00:00,BUY,4702.795,4694.59,4714.48,4694.34,2026-05-14T08:48:00+00:00,SL,-8.455,-16.91,"session_vol: in window (8.57h UTC), vol=NORMAL"
