entry_time,exit_time,strategy,side,outcome,entry_px,exit_px,pnl_pts,pnl_usd
2026-04-08 06:53:00+00:00,2026-04-08 06:54:15+00:00,KRONOS_S100_M3_COMBO,BUY,SL,4827.339999999999,4824.320000000001,-3.0199999999986176,-30.199999999986176
2026-04-08 07:25:00+00:00,2026-04-08 07:34:00+00:00,KRONOS_S99_MSS_FVG,SELL,TP,4820.780000000001,4811.82,8.960000000000946,89.60000000000946
2026-04-08 07:33:00+00:00,2026-04-08 07:34:20+00:00,KRONOS_S100_M3_COMBO,BUY,SL,4811.91,4808.240000000001,-3.6699999999991633,-36.69999999999163
2026-04-08 07:56:00+00:00,2026-04-08 07:58:50+00:00,KRONOS_S100_M3_COMBO,BUY,SL,4820.495,4814.17,-6.324999999999818,-63.24999999999819
2026-04-08 07:59:00+00:00,2026-04-08 08:04:05+00:00,KRONOS_S93_FVG_SCALP,BUY,SL,4814.08,4809.26,-4.819999999999709,-48.19999999999709
2026-04-08 08:50:00+00:00,2026-04-08 08:51:10+00:00,KRONOS_S99_MSS_FVG,SELL,SL,4800.625,4803.839999999999,-3.214999999999236,-32.14999999999236
2026-04-08 09:50:00+00:00,2026-04-08 10:16:20+00:00,KRONOS_S99_MSS_FVG,SELL,TP,4787.01,4773.74,13.270000000000437,132.70000000000437
2026-04-08 10:28:00+00:00,2026-04-08 10:37:05+00:00,KRONOS_S99_MSS_FVG,SELL,SL,4780.700000000001,4787.94,-7.239999999998872,-72.39999999998872
2026-04-08 13:11:00+00:00,2026-04-08 13:31:20+00:00,KRONOS_S93_FVG_SCALP,BUY,SL,4793.3949999999995,4782.360000000001,-11.034999999998945,-110.34999999998945
2026-04-08 13:36:00+00:00,2026-04-08 13:53:40+00:00,KRONOS_S100_M3_COMBO,SELL,TP,4785.8,4773.82,11.980000000000473,119.80000000000473
2026-04-08 13:57:00+00:00,2026-04-08 14:00:45+00:00,KRONOS_S100_M3_COMBO,SELL,SL,4779.290000000001,4786.589999999999,-7.299999999998363,-72.99999999998363
2026-04-08 14:37:00+00:00,2026-04-08 14:41:00+00:00,KRONOS_S100_M3_COMBO,SELL,SL,4758.240000000001,4767.53,-9.289999999999054,-92.89999999999054
2026-04-08 14:41:00+00:00,2026-04-08 14:44:10+00:00,KRONOS_S99_MSS_FVG,SELL,TP,4766.92,4760.36,6.5600000000004,65.60000000000402
2026-04-08 15:20:00+00:00,2026-04-08 15:21:25+00:00,KRONOS_S100_M3_COMBO,SELL,SL,4755.81,4758.209999999999,-2.3999999999987267,-23.999999999987267
2026-04-08 17:03:00+00:00,2026-04-08 17:19:20+00:00,KRONOS_S94_SWEEP_REVERSAL,SELL,TP,4761.4400000000005,4755.28,6.160000000000764,61.60000000000765
2026-04-09 01:02:00+00:00,2026-04-09 01:04:50+00:00,KRONOS_S100_M3_COMBO,SELL,SL,4705.575000000001,4711.87,-6.294999999999163,-62.94999999999163
2026-04-09 01:29:00+00:00,2026-04-09 01:34:10+00:00,KRONOS_S100_M3_COMBO,SELL,SL,4704.625,4713.24,-8.614999999999782,-86.14999999999782
2026-04-09 05:16:00+00:00,2026-04-09 05:19:15+00:00,KRONOS_S100_M3_COMBO,SELL,SL,4716.495000000001,4719.32,-2.8249999999989086,-28.24999999998909
2026-04-10 01:54:00+00:00,2026-04-10 02:04:30+00:00,KRONOS_S100_M3_COMBO,SELL,TP,4765.150000000001,4758.719999999999,6.4300000000012005,64.30000000001202
2026-04-10 02:14:00+00:00,2026-04-10 03:10:35+00:00,KRONOS_S100_M3_COMBO,SELL,SL,4752.120000000001,4758.94,-6.8199999999987995,-68.19999999998801
2026-04-10 03:30:00+00:00,2026-04-10 03:32:25+00:00,KRONOS_S100_M3_COMBO,SELL,SL,4757.06,4758.929999999999,-1.8699999999989814,-18.699999999989814
2026-04-10 04:35:00+00:00,2026-04-10 04:59:10+00:00,KRONOS_S100_M3_COMBO,SELL,TP,4763.070000000001,4758.86,4.210000000000946,42.100000000009466
2026-04-10 05:04:00+00:00,2026-04-10 05:32:05+00:00,KRONOS_S100_M3_COMBO,SELL,SL,4761.860000000001,4765.24,-3.3799999999991996,-33.799999999991996
2026-04-10 06:08:00+00:00,2026-04-10 06:18:05+00:00,KRONOS_S100_M3_COMBO,SELL,TP,4761.625,4755.74,5.885000000000218,58.85000000000219
2026-04-10 06:25:00+00:00,2026-04-10 06:30:20+00:00,KRONOS_S99_MSS_FVG,SELL,SL,4755.735000000001,4757.15,-1.4149999999990541,-14.149999999990543
2026-04-10 06:19:00+00:00,2026-04-10 06:49:20+00:00,KRONOS_S100_M3_COMBO,SELL,TP,4752.400000000001,4747.209999999999,5.190000000001419,51.90000000001419
2026-04-10 06:55:00+00:00,2026-04-10 07:02:30+00:00,KRONOS_S99_MSS_FVG,SELL,TP,4746.915000000001,4742.2,4.715000000001055,47.15000000001055
2026-04-10 06:55:00+00:00,2026-04-10 07:09:20+00:00,KRONOS_S100_M3_COMBO,SELL,SL,4746.915000000001,4751.95,-5.034999999998945,-50.34999999998945
2026-04-10 08:27:00+00:00,2026-04-10 08:31:00+00:00,KRONOS_S93_FVG_SCALP,SELL,SL,4746.745000000001,4750.32,-3.5749999999989086,-35.74999999998909
2026-04-10 08:27:00+00:00,2026-04-10 08:31:00+00:00,KRONOS_S99_MSS_FVG,SELL,SL,4746.745000000001,4750.32,-3.5749999999989086,-35.74999999998909
2026-04-10 08:08:00+00:00,2026-04-10 08:47:30+00:00,KRONOS_S100_M3_COMBO,SELL,TP,4750.27,4739.62,10.650000000000546,106.50000000000546
2026-04-10 08:55:00+00:00,2026-04-10 08:58:10+00:00,KRONOS_S93_FVG_SCALP,SELL,SL,4738.495000000001,4742.719999999999,-4.224999999998545,-42.24999999998545
2026-04-10 08:55:00+00:00,2026-04-10 08:58:10+00:00,KRONOS_S99_MSS_FVG,SELL,SL,4738.495000000001,4742.719999999999,-4.224999999998545,-42.24999999998545
2026-04-10 08:55:00+00:00,2026-04-10 08:58:10+00:00,KRONOS_S100_M3_COMBO,SELL,SL,4738.495000000001,4742.57,-4.074999999998909,-40.749999999989086
2026-04-10 08:55:00+00:00,2026-04-10 09:19:35+00:00,KRONOS_S94_SWEEP_REVERSAL,BUY,TP,4739.455,4756.96,17.50500000000011,175.0500000000011
2026-04-10 09:36:00+00:00,2026-04-10 10:06:35+00:00,KRONOS_S93_FVG_SCALP,SELL,TP,4748.7300000000005,4745.349999999999,3.3800000000010186,33.800000000010186
2026-04-10 10:14:00+00:00,2026-04-10 10:19:30+00:00,KRONOS_S99_MSS_FVG,SELL,SL,4746.785000000001,4751.839999999999,-5.054999999998472,-50.54999999998472
2026-04-10 10:23:00+00:00,2026-04-10 11:23:10+00:00,KRONOS_S94_SWEEP_REVERSAL,SELL,SL,4757.535000000001,4761.719999999999,-4.184999999998581,-41.84999999998581
2026-04-10 10:30:00+00:00,2026-04-10 11:44:55+00:00,KRONOS_S99_MSS_FVG,BUY,TP,4758.04,4766.740000000001,8.700000000000728,87.00000000000728
2026-04-10 13:08:00+00:00,2026-04-10 13:19:05+00:00,KRONOS_S100_M3_COMBO,BUY,SL,4775.5,4767.950000000001,-7.549999999999272,-75.49999999999272
2026-04-10 14:26:00+00:00,2026-04-10 14:42:55+00:00,KRONOS_S100_M3_COMBO,BUY,SL,4790.065,4782.610000000001,-7.454999999999018,-74.54999999999018
2026-04-10 15:23:00+00:00,2026-04-10 15:28:15+00:00,KRONOS_S100_M3_COMBO,BUY,SL,4787.209999999999,4779.89,-7.3199999999987995,-73.199999999988
2026-04-10 15:29:00+00:00,2026-04-10 15:30:50+00:00,KRONOS_S100_M3_COMBO,BUY,SL,4776.709999999999,4775.18,-1.5299999999988358,-15.299999999988358
2026-04-10 15:45:00+00:00,2026-04-10 16:02:05+00:00,KRONOS_S99_MSS_FVG,SELL,TP,4767.5,4757.07,10.430000000000291,104.30000000000292
2026-04-13 02:44:00+00:00,2026-04-13 02:55:20+00:00,KRONOS_S100_M3_COMBO,SELL,SL,4715.01,4720.5599999999995,-5.549999999999272,-55.499999999992724
2026-04-13 02:56:00+00:00,2026-04-13 03:06:10+00:00,KRONOS_S100_M3_COMBO,SELL,TP,4720.35,4714.36,5.990000000000691,59.90000000000691
2026-04-13 03:13:00+00:00,2026-04-13 03:25:50+00:00,KRONOS_S100_M3_COMBO,SELL,SL,4714.765,4718.589999999999,-3.8249999999989086,-38.249999999989086
2026-04-13 04:08:00+00:00,2026-04-13 04:42:05+00:00,KRONOS_S100_M3_COMBO,SELL,SL,4712.585,4716.669999999999,-4.084999999999127,-40.84999999999127
2026-04-13 04:18:00+00:00,2026-04-13 04:54:00+00:00,KRONOS_S94_SWEEP_REVERSAL,BUY,TP,4712.509999999999,4721.990000000001,9.480000000001382,94.80000000001382
2026-04-13 05:38:00+00:00,2026-04-13 05:43:05+00:00,KRONOS_S100_M3_COMBO,BUY,SL,4724.33,4719.75,-4.579999999999927,-45.79999999999927
2026-04-13 05:38:00+00:00,2026-04-13 05:56:55+00:00,KRONOS_S94_SWEEP_REVERSAL,SELL,SL,4723.370000000001,4727.169999999999,-3.799999999998363,-37.99999999998363
