strategy,entry_time,side,entry_px,sl,tp,exit_px,exit_time,outcome,pnl_pts,reason
OB_MIT,2026-04-13 14:17:00+00:00,SELL,4719.22,4721.85,4713.94,4713.94,2026-04-13 14:23:00,TP,5.28,OB_BEAR
FVG_MID,2026-04-13 14:18:00+00:00,BUY,4718.09,4716.29,4721.69,4716.29,2026-04-13 14:21:00,SL,-1.8,FVG_MID_BULL
BB,2026-04-13 14:20:00+00:00,BUY,4720.69,4716.74,4728.59,4716.74,2026-04-13 14:21:00,SL,-3.95,BB_BULL
FVG_MID,2026-04-13 14:24:00+00:00,BUY,4717.32,4716.29,4719.39,4716.29,2026-04-13 14:25:00,SL,-1.03,FVG_MID_BULL
BB,2026-04-13 14:27:00+00:00,BUY,4717.11,4716.74,4717.85,4716.74,2026-04-13 14:28:00,SL,-0.37,BB_BULL
BB,2026-04-13 14:34:00+00:00,BUY,4719.94,4716.74,4726.35,4716.74,2026-04-13 14:37:00,SL,-3.2,BB_BULL
FVG_MID,2026-04-13 14:35:00+00:00,BUY,4718.62,4716.29,4723.3,4716.29,2026-04-13 14:38:00,SL,-2.33,FVG_MID_BULL
BB,2026-04-13 14:39:00+00:00,BUY,4719.18,4716.74,4724.05,4716.74,2026-04-13 14:48:00,SL,-2.44,BB_BULL
FVG_MID,2026-04-13 14:43:00+00:00,BUY,4718.06,4716.29,4721.59,4721.59,2026-04-13 14:44:00,TP,3.53,FVG_MID_BULL
BB,2026-04-13 14:44:00+00:00,SELL,4721.73,4730.33,4704.54,4704.54,2026-04-13 15:05:00,TP,17.19,BB_BEAR
FVG_MID,2026-04-13 14:46:00+00:00,SELL,4722.59,4724.22,4719.33,4719.33,2026-04-13 14:47:00,TP,3.26,FVG_MID_BEAR
AC,2026-04-13 14:56:00+00:00,SELL,4717.22,4723.13,4705.39,4705.39,2026-04-13 15:05:00,TP,11.83,AC_FVG
BB,2026-04-13 14:56:00+00:00,BUY,4717.22,4716.74,4718.17,4716.74,2026-04-13 14:57:00,SL,-0.48,BB_BULL
FVG_MID,2026-04-13 14:56:00+00:00,BUY,4717.22,4716.29,4719.07,4719.07,2026-04-13 14:58:00,TP,1.85,FVG_MID_BULL
FVG_MID,2026-04-13 15:18:00+00:00,SELL,4709.98,4712.07,4705.8,4705.8,2026-04-13 15:24:00,TP,4.18,FVG_MID_BEAR
INDUCEMENT,2026-04-13 15:18:00+00:00,BUY,4709.98,4708.57,4712.8,4708.57,2026-04-13 15:19:00,SL,-1.41,INDU_KEY_SSL
FVG_MID,2026-04-13 15:33:00+00:00,SELL,4709.55,4712.07,4704.5,4712.07,2026-04-13 15:36:00,SL,-2.52,FVG_MID_BEAR
FVG_MID,2026-04-14 07:19:00+00:00,BUY,4784.97,4782.66,4789.58,4782.66,2026-04-14 07:22:00,SL,-2.31,FVG_MID_BULL
BB,2026-04-14 07:23:00+00:00,BUY,4774.31,4770.62,4781.7,4770.62,2026-04-14 07:25:00,SL,-3.69,BB_BULL
BB,2026-04-14 07:28:00+00:00,BUY,4771.61,4767.88,4779.07,4779.07,2026-04-14 07:40:00,TP,7.46,BB_BULL
BB,2026-04-14 07:33:00+00:00,BUY,4774.36,4770.62,4781.85,4781.85,2026-04-14 08:06:00,TP,7.49,BB_BULL
OB_MIT,2026-04-14 07:35:00+00:00,BUY,4773.52,4772.11,4776.34,4772.11,2026-04-14 07:37:00,SL,-1.41,OB_BULL
BB,2026-04-14 07:38:00+00:00,BUY,4775.46,4770.62,4785.14,4785.14,2026-04-14 08:29:00,TP,9.68,BB_BULL
OB_MIT,2026-04-14 07:42:00+00:00,BUY,4775.07,4772.11,4781.01,4781.01,2026-04-14 08:06:00,TP,5.94,OB_BULL
BB,2026-04-14 07:43:00+00:00,BUY,4775.74,4770.62,4785.99,4785.99,2026-04-14 08:29:00,TP,10.25,BB_BULL
OB_MIT,2026-04-14 07:54:00+00:00,BUY,4775.48,4772.11,4782.22,4782.22,2026-04-14 08:06:00,TP,6.74,OB_BULL
