strategy,entry_time,side,entry_px,sl,tp,exit_px,exit_time,outcome,pnl_pts,reason
ICT_S4_BREAKER,2025-05-09 05:30:00+00:00,BUY,3321.83,3314.04,3337.11,3336.81,2025-05-09 11:15:00+00:00,TP,14.97,ICT_S4_BREAKER
ICT_S4_BREAKER,2025-05-09 14:15:00+00:00,BUY,3322.19,3314.68,3336.54,3336.24,2025-05-09 14:30:00+00:00,TP,14.06,ICT_S4_BREAKER
ICT_S4_BREAKER,2025-05-15 20:45:00+00:00,BUY,3237.24,3234.34,3242.41,3242.11,2025-05-15 22:00:00+00:00,TP,4.87,ICT_S4_BREAKER
ICT_S4_BREAKER,2025-05-16 00:00:00+00:00,BUY,3237.34,3234.09,3243.73,3233.79,2025-05-16 00:15:00+00:00,SL,-3.56,ICT_S4_BREAKER
ICT_S4_BREAKER,2025-05-16 00:45:00+00:00,BUY,3236.83,3233.87,3241.62,3233.57,2025-05-16 01:00:00+00:00,SL,-3.26,ICT_S4_BREAKER
ICT_S4_BREAKER,2025-05-19 08:45:00+00:00,BUY,3238.56,3234.82,3245.49,3245.19,2025-05-19 09:00:00+00:00,TP,6.62,ICT_S4_BREAKER
ICT_S4_BREAKER,2025-05-22 13:15:00+00:00,SELL,3314.59,3318.07,3308.25,3308.55,2025-05-22 13:30:00+00:00,TP,6.04,ICT_S4_BREAKER
ICT_S4_BREAKER,2025-05-23 08:00:00+00:00,BUY,3329.6,3324.17,3340.0,3323.87,2025-05-23 08:15:00+00:00,SL,-5.73,ICT_S4_BREAKER
ICT_S4_BREAKER,2025-05-27 07:00:00+00:00,BUY,3308.91,3302.55,3321.03,3302.25,2025-05-27 07:45:00+00:00,SL,-6.66,ICT_S4_BREAKER
ICT_S4_BREAKER,2025-05-28 00:00:00+00:00,BUY,3310.11,3303.9,3321.44,3303.6,2025-05-28 01:00:00+00:00,SL,-6.52,ICT_S4_BREAKER
ICT_S4_BREAKER,2025-06-01 22:30:00+00:00,BUY,3304.29,3300.89,3310.6,3310.3,2025-06-01 22:45:00+00:00,TP,6.01,ICT_S4_BREAKER
ICT_S4_BREAKER,2025-06-04 03:15:00+00:00,BUY,3364.6,3360.45,3372.17,3360.15,2025-06-04 03:30:00+00:00,SL,-4.45,ICT_S4_BREAKER
ICT_S4_BREAKER,2025-06-04 07:15:00+00:00,BUY,3360.27,3357.93,3364.15,3363.85,2025-06-04 07:30:00+00:00,TP,3.59,ICT_S4_BREAKER
ICT_S4_BREAKER,2025-06-06 07:00:00+00:00,SELL,3360.49,3362.83,3356.43,3356.73,2025-06-06 07:45:00+00:00,TP,3.76,ICT_S4_BREAKER
ICT_S4_BREAKER,2025-06-17 02:15:00+00:00,SELL,3395.15,3400.63,3384.97,3385.27,2025-06-17 03:00:00+00:00,TP,9.88,ICT_S4_BREAKER
ICT_S4_BREAKER,2025-06-17 12:30:00+00:00,SELL,3387.84,3390.12,3384.03,3384.33,2025-06-17 12:45:00+00:00,TP,3.5,ICT_S4_BREAKER
ICT_S4_BREAKER,2025-06-18 05:45:00+00:00,BUY,3388.01,3382.8,3397.85,3382.5,2025-06-18 06:15:00+00:00,SL,-5.51,ICT_S4_BREAKER
ICT_S4_BREAKER,2025-06-20 14:30:00+00:00,BUY,3368.37,3364.21,3376.11,3375.81,2025-06-22 22:00:00+00:00,TP,7.44,ICT_S4_BREAKER
ICT_S4_BREAKER,2025-06-24 18:15:00+00:00,BUY,3316.1,3313.47,3320.72,3320.42,2025-06-24 19:30:00+00:00,TP,4.32,ICT_S4_BREAKER
ICT_S4_BREAKER,2025-06-25 10:00:00+00:00,SELL,3325.04,3329.78,3316.18,3316.48,2025-06-25 13:00:00+00:00,TP,8.56,ICT_S4_BREAKER
ICT_S4_BREAKER,2025-06-25 16:00:00+00:00,BUY,3326.04,3324.08,3329.27,3328.97,2025-06-25 16:15:00+00:00,TP,2.93,ICT_S4_BREAKER
ICT_S4_BREAKER,2025-06-26 03:15:00+00:00,SELL,3341.1,3345.44,3333.17,3333.47,2025-06-26 05:30:00+00:00,TP,7.63,ICT_S4_BREAKER
ICT_S4_BREAKER,2025-06-30 02:00:00+00:00,BUY,3274.37,3271.8,3278.94,3278.64,2025-06-30 02:15:00+00:00,TP,4.27,ICT_S4_BREAKER
ICT_S4_BREAKER,2025-07-02 06:00:00+00:00,SELL,3338.55,3339.82,3336.62,3336.92,2025-07-02 06:15:00+00:00,TP,1.64,ICT_S4_BREAKER
ICT_S4_BREAKER,2025-07-02 11:45:00+00:00,BUY,3342.87,3339.3,3349.44,3339.0,2025-07-02 12:00:00+00:00,SL,-3.87,ICT_S4_BREAKER
ICT_S4_BREAKER,2025-07-02 20:45:00+00:00,BUY,3356.04,3351.58,3364.33,3364.03,2025-07-02 22:15:00+00:00,TP,7.99,ICT_S4_BREAKER
ICT_S4_BREAKER,2025-07-07 01:00:00+00:00,SELL,3326.28,3328.32,3322.84,3323.14,2025-07-07 01:15:00+00:00,TP,3.14,ICT_S4_BREAKER
ICT_S4_BREAKER,2025-07-09 15:45:00+00:00,BUY,3309.36,3307.39,3312.74,3312.44,2025-07-09 16:30:00+00:00,TP,3.08,ICT_S4_BREAKER
ICT_S4_BREAKER,2025-07-11 01:15:00+00:00,BUY,3326.81,3322.84,3334.11,3333.81,2025-07-11 02:45:00+00:00,TP,7.0,ICT_S4_BREAKER
ICT_S4_BREAKER,2025-07-14 08:45:00+00:00,SELL,3367.68,3370.46,3362.81,3370.76,2025-07-14 09:45:00+00:00,SL,-3.08,ICT_S4_BREAKER
ICT_S4_BREAKER,2025-07-18 01:15:00+00:00,SELL,3339.28,3340.65,3337.19,3337.49,2025-07-18 01:30:00+00:00,TP,1.8,ICT_S4_BREAKER
ICT_S4_BREAKER,2025-07-18 04:00:00+00:00,BUY,3334.98,3333.7,3336.99,3336.69,2025-07-18 04:45:00+00:00,TP,1.71,ICT_S4_BREAKER
ICT_S4_BREAKER,2025-07-23 03:30:00+00:00,SELL,3427.8,3430.14,3423.58,3423.88,2025-07-23 03:45:00+00:00,TP,3.92,ICT_S4_BREAKER
ICT_S4_BREAKER,2025-07-29 22:45:00+00:00,BUY,3327.0,3325.53,3329.28,3328.98,2025-07-30 00:00:00+00:00,TP,1.98,ICT_S4_BREAKER
ICT_S4_BREAKER,2025-07-30 00:30:00+00:00,BUY,3329.24,3327.96,3330.92,3330.62,2025-07-30 00:45:00+00:00,TP,1.39,ICT_S4_BREAKER
ICT_S4_BREAKER,2025-07-30 09:45:00+00:00,BUY,3330.51,3329.21,3332.55,3328.91,2025-07-30 10:00:00+00:00,SL,-1.6,ICT_S4_BREAKER
ICT_S4_BREAKER,2025-07-31 06:30:00+00:00,BUY,3302.31,3298.25,3309.82,3297.95,2025-07-31 06:45:00+00:00,SL,-4.36,ICT_S4_BREAKER
ICT_S4_BREAKER,2025-07-31 07:15:00+00:00,BUY,3300.38,3298.24,3304.19,3303.89,2025-07-31 07:30:00+00:00,TP,3.5,ICT_S4_BREAKER
ICT_S4_BREAKER,2025-08-04 08:30:00+00:00,BUY,3359.19,3356.46,3364.15,3356.16,2025-08-04 10:15:00+00:00,SL,-3.03,ICT_S4_BREAKER
ICT_S4_BREAKER,2025-08-05 07:30:00+00:00,SELL,3374.03,3375.62,3371.35,3371.65,2025-08-05 07:45:00+00:00,TP,2.38,ICT_S4_BREAKER
ICT_S4_BREAKER,2025-08-05 16:45:00+00:00,BUY,3380.83,3377.32,3387.06,3377.02,2025-08-06 01:15:00+00:00,SL,-3.81,ICT_S4_BREAKER
ICT_S4_BREAKER,2025-08-06 08:45:00+00:00,SELL,3366.15,3367.63,3363.77,3367.93,2025-08-06 09:15:00+00:00,SL,-1.78,ICT_S4_BREAKER
ICT_S4_BREAKER,2025-08-08 02:45:00+00:00,SELL,3388.67,3390.84,3384.89,3385.19,2025-08-08 03:00:00+00:00,TP,3.48,ICT_S4_BREAKER
ICT_S4_BREAKER,2025-08-08 03:45:00+00:00,BUY,3396.16,3393.15,3401.51,3392.85,2025-08-08 05:00:00+00:00,SL,-3.31,ICT_S4_BREAKER
ICT_S4_BREAKER,2025-08-13 18:30:00+00:00,BUY,3351.37,3349.41,3354.7,3354.4,2025-08-13 19:15:00+00:00,TP,3.03,ICT_S4_BREAKER
ICT_S4_BREAKER,2025-08-15 08:00:00+00:00,SELL,3346.17,3347.49,3344.08,3344.38,2025-08-15 08:15:00+00:00,TP,1.78,ICT_S4_BREAKER
ICT_S4_BREAKER,2025-08-18 15:00:00+00:00,BUY,3334.71,3332.29,3338.88,3331.99,2025-08-18 16:00:00+00:00,SL,-2.72,ICT_S4_BREAKER
ICT_S4_BREAKER,2025-08-20 10:45:00+00:00,SELL,3326.84,3328.96,3323.25,3329.26,2025-08-20 11:00:00+00:00,SL,-2.43,ICT_S4_BREAKER
ICT_S4_BREAKER,2025-08-21 05:15:00+00:00,BUY,3337.69,3336.25,3340.17,3339.87,2025-08-21 05:30:00+00:00,TP,2.18,ICT_S4_BREAKER
