strategy,entry_time,side,entry_px,sl,tp,exit_px,exit_time,outcome,pnl_pts,reason
VAR3,2026-04-09 09:00:00+00:00,BUY,4725.39,4724.39,4726.89,4726.89,2026-04-09 09:02:00,TP,1.5,VAR3_MICRO
VAR3,2026-04-09 09:26:00+00:00,SELL,4732.98,4733.98,4731.48,4731.48,2026-04-09 09:28:00,TP,1.5,VAR3_MICRO
VAR3,2026-04-09 09:27:00+00:00,SELL,4733.02,4734.02,4731.52,4731.52,2026-04-09 09:28:00,TP,1.5,VAR3_MICRO
VAR3,2026-04-09 09:29:00+00:00,SELL,4729.97,4730.97,4728.47,4730.97,2026-04-09 09:30:00,SL,-1.0,VAR3_MICRO
VAR3,2026-04-09 09:31:00+00:00,SELL,4729.0,4730.0,4727.5,4730.0,2026-04-09 09:32:00,SL,-1.0,VAR3_MICRO
VAR3,2026-04-09 09:33:00+00:00,BUY,4730.08,4729.08,4731.58,4729.08,2026-04-09 09:34:00,SL,-1.0,VAR3_MICRO
VAR3,2026-04-09 09:34:00+00:00,BUY,4729.89,4728.89,4731.39,4728.89,2026-04-09 09:35:00,SL,-1.0,VAR3_MICRO
VAR3,2026-04-09 09:51:00+00:00,BUY,4730.35,4729.35,4732.74,4729.35,2026-04-09 09:52:00,SL,-1.0,VAR3_MICRO
VAR3,2026-04-09 09:55:00+00:00,BUY,4729.0,4728.0,4730.82,4728.0,2026-04-09 09:57:00,SL,-1.0,VAR3_MICRO
VAR3,2026-04-09 09:57:00+00:00,BUY,4728.41,4727.41,4730.82,4730.82,2026-04-09 10:01:00,TP,2.41,VAR3_MICRO
VAR3,2026-04-09 09:58:00+00:00,BUY,4728.96,4727.96,4730.81,4730.81,2026-04-09 10:01:00,TP,1.85,VAR3_MICRO
VAR3,2026-04-09 10:06:00+00:00,BUY,4727.23,4726.23,4728.73,4728.73,2026-04-09 10:07:00,TP,1.5,VAR3_MICRO
