entry_time,direction,entry_price,stop_loss,take_profit,exit_price,exit_time,outcome,pnl_dollars,is_equal,session_date
2026-04-28 12:31:00+00:00,BUY,4574.19,4573.19,4575.69,4575.69,2026-04-28 12:32:00,TP,1.5,False,2026-04-28
2026-04-28 12:33:00+00:00,SELL,4579.82,4580.82,4577.98,4577.98,2026-04-28 12:34:00,TP,1.84,False,2026-04-28
2026-04-28 12:34:00+00:00,BUY,4579.14,4578.14,4581.7,4581.7,2026-04-28 12:35:00,TP,2.56,False,2026-04-28
2026-04-28 12:38:00+00:00,SELL,4580.52,4581.52,4577.98,4581.52,2026-04-28 12:39:00,SL,-1.0,False,2026-04-28
2026-04-28 12:59:00+00:00,BUY,4593.94,4592.94,4595.44,4592.94,2026-04-28 13:00:00,SL,-1.0,False,2026-04-28
2026-04-28 13:13:00+00:00,SELL,4578.6,4579.6,4577.1,4579.6,2026-04-28 13:14:00,SL,-1.0,False,2026-04-28
2026-04-28 13:17:00+00:00,BUY,4575.94,4574.94,4577.44,4574.94,2026-04-28 13:18:00,SL,-1.0,False,2026-04-28
2026-04-28 13:36:00+00:00,SELL,4580.72,4581.72,4579.22,4581.72,2026-04-28 13:37:00,SL,-1.0,False,2026-04-28
2026-04-28 13:37:00+00:00,SELL,4581.05,4582.05,4579.55,4582.05,2026-04-28 13:38:00,SL,-1.0,False,2026-04-28
2026-04-28 13:59:00+00:00,BUY,4580.71,4579.71,4582.94,4579.71,2026-04-28 14:00:00,SL,-1.0,False,2026-04-28
2026-04-28 14:18:00+00:00,SELL,4573.62,4574.62,4572.12,4572.12,2026-04-28 14:19:00,TP,1.5,False,2026-04-28
2026-04-28 14:29:00+00:00,SELL,4571.64,4572.64,4570.14,4572.64,2026-04-28 14:30:00,SL,-1.0,False,2026-04-28
2026-04-28 14:55:00+00:00,SELL,4565.48,4566.48,4563.98,4566.48,2026-04-28 14:56:00,SL,-1.0,False,2026-04-28
2026-04-28 15:02:00+00:00,SELL,4577.52,4578.52,4576.02,4578.52,2026-04-28 15:03:00,SL,-1.0,False,2026-04-28
2026-04-28 15:11:00+00:00,BUY,4572.48,4571.48,4573.98,4573.98,2026-04-28 15:12:00,TP,1.5,False,2026-04-28
2026-04-28 15:17:00+00:00,SELL,4573.49,4574.49,4570.9,4570.9,2026-04-28 15:20:00,TP,2.59,False,2026-04-28
2026-04-28 15:30:00+00:00,SELL,4576.72,4577.72,4574.2,4574.2,2026-04-28 15:31:00,TP,2.52,False,2026-04-28
2026-04-29 07:02:00+00:00,SELL,4583.66,4584.66,4581.4,4584.66,2026-04-29 07:03:00,SL,-1.0,False,2026-04-29
2026-04-29 08:49:00+00:00,SELL,4571.06,4572.06,4569.56,4572.06,2026-04-29 08:51:00,SL,-1.0,True,2026-04-29
2026-04-29 09:23:00+00:00,BUY,4573.76,4572.76,4575.78,4572.76,2026-04-29 09:24:00,SL,-1.0,False,2026-04-29
2026-04-29 10:36:00+00:00,SELL,4573.26,4574.26,4570.85,4570.85,2026-04-29 10:37:00,TP,2.41,True,2026-04-29
