strategy,entry_time,side,entry_px,sl,tp,exit_px,exit_time,outcome,pnl_pts,reason
AC,2026-05-07 09:22:00+00:00,BUY,4736.18,4731.44,4745.65,4731.44,2026-05-07 09:56:00,SL,-4.74,AC_FVG
BB,2026-05-07 09:22:00+00:00,BUY,4736.18,4735.42,4737.69,4737.69,2026-05-07 09:23:00,TP,1.51,BB_BULL
EQ_HL,2026-05-07 09:23:00+00:00,SELL,4736.69,4738.02,4734.69,4738.02,2026-05-07 09:26:00,SL,-1.33,EQ_SWEEP
EQ_HL,2026-05-07 09:25:00+00:00,SELL,4736.56,4737.66,4734.56,4737.66,2026-05-07 09:26:00,SL,-1.1,EQ_SWEEP
M90_FADE,2026-05-07 09:26:00+00:00,SELL,4737.05,4739.0,4731.11,4739.0,2026-05-07 09:43:00,SL,-1.95,M90_FADE_UP
BB,2026-05-07 09:27:00+00:00,BUY,4736.27,4735.42,4737.97,4735.42,2026-05-07 09:28:00,SL,-0.85,BB_BULL
BB,2026-05-07 09:34:00+00:00,BUY,4736.09,4735.42,4737.41,4735.42,2026-05-07 09:37:00,SL,-0.67,BB_BULL
BB,2026-05-07 09:39:00+00:00,BUY,4735.78,4735.42,4736.51,4736.51,2026-05-07 09:40:00,TP,0.73,BB_BULL
BB,2026-05-07 09:44:00+00:00,SELL,4738.03,4741.61,4730.87,4730.87,2026-05-07 09:56:00,TP,7.16,BB_BEAR
INDUCEMENT,2026-05-07 09:46:00+00:00,BUY,4738.56,4736.82,4742.04,4736.82,2026-05-07 09:49:00,SL,-1.74,INDU_KEY_SSL
BB,2026-05-07 09:49:00+00:00,BUY,4735.91,4735.42,4736.89,4735.42,2026-05-07 09:50:00,SL,-0.49,BB_BULL
EQ_HL,2026-05-07 09:53:00+00:00,BUY,4734.13,4732.79,4736.13,4732.79,2026-05-07 09:56:00,SL,-1.34,EQ_SWEEP
FVG_MID,2026-05-07 10:02:00+00:00,BUY,4731.57,4730.86,4732.99,4730.86,2026-05-07 10:03:00,SL,-0.71,FVG_MID_BULL
FVG_MID,2026-05-07 10:12:00+00:00,SELL,4734.69,4735.76,4732.55,4735.76,2026-05-07 10:15:00,SL,-1.07,FVG_MID_BEAR
EQ_HL,2026-05-07 10:13:00+00:00,BUY,4734.6,4733.35,4736.6,4733.35,2026-05-07 10:18:00,SL,-1.25,EQ_SWEEP
FVG_MID,2026-05-07 10:16:00+00:00,SELL,4734.81,4735.76,4732.92,4732.92,2026-05-07 10:19:00,TP,1.89,FVG_MID_BEAR
EQ_HL,2026-05-07 10:18:00+00:00,BUY,4734.16,4732.67,4736.16,4732.67,2026-05-07 10:19:00,SL,-1.49,EQ_SWEEP
FVG_MID,2026-05-07 10:19:00+00:00,BUY,4731.6,4730.86,4733.09,4730.86,2026-05-07 10:20:00,SL,-0.74,FVG_MID_BULL
FVG_MID,2026-05-07 10:23:00+00:00,BUY,4732.44,4731.68,4733.95,4731.68,2026-05-07 10:24:00,SL,-0.76,FVG_MID_BULL
FVG_MID,2026-05-07 10:27:00+00:00,BUY,4732.16,4731.68,4733.12,4731.68,2026-05-07 10:30:00,SL,-0.48,FVG_MID_BULL
FVG_MID,2026-05-07 10:30:00+00:00,BUY,4731.65,4730.86,4733.22,4730.86,2026-05-07 10:31:00,SL,-0.79,FVG_MID_BULL
M90_FADE,2026-05-07 10:31:00+00:00,BUY,4730.65,4727.76,4732.68,4732.68,2026-05-07 10:37:00,TP,2.03,M90_FADE_DN
M90_BIAS,2026-05-07 10:31:00+00:00,BUY,4730.65,4727.76,4732.68,4732.68,2026-05-07 10:37:00,TP,2.03,M90_BIAS_BUY
OB_MIT,2026-05-07 10:35:00+00:00,BUY,4731.19,4727.76,4738.06,4738.06,2026-05-07 10:39:00,TP,6.87,OB_BULL
OB_MIT_BIAS,2026-05-07 10:35:00+00:00,BUY,4731.19,4727.76,4738.06,4738.06,2026-05-07 10:39:00,TP,6.87,OB_BIAS_BUY
FVG_MID,2026-05-07 10:36:00+00:00,BUY,4731.74,4730.86,4733.5,4733.5,2026-05-07 10:37:00,TP,1.76,FVG_MID_BULL
M90_FADE,2026-05-07 10:36:00+00:00,BUY,4731.74,4727.76,4732.68,4732.68,2026-05-07 10:37:00,TP,0.94,M90_FADE_DN
M90_BIAS,2026-05-07 10:36:00+00:00,BUY,4731.74,4727.76,4732.68,4732.68,2026-05-07 10:37:00,TP,0.94,M90_BIAS_BUY
BB,2026-05-07 10:38:00+00:00,SELL,4737.73,4741.61,4729.98,4729.98,2026-05-07 11:13:00,TP,7.75,BB_BEAR
