variation,entry_time,direction,entry_price,stop_loss,take_profit,exit_price,exit_time,outcome,pnl_points,tp_mode,pool_type,is_equal_pool
VAR2-EQ,2026-04-22 11:46:00+00:00,BUY,4749.51,4746.88,4755.01,4755.01,2026-04-22 12:01:00,TP,5.5,DYNAMIC_FVG,SSL,True
VAR2-EQ,2026-04-22 12:03:00+00:00,BUY,4755.35,4749.5,4757.56,4757.56,2026-04-22 12:04:00,TP,2.22,DYNAMIC_FVG,SSL,True
VAR2-EQ,2026-04-22 12:09:00+00:00,BUY,4753.0,4750.27,4755.01,4750.27,2026-04-22 12:11:00,SL,-2.73,DYNAMIC_FVG,SSL,True
VAR2-EQ,2026-04-22 12:12:00+00:00,BUY,4750.61,4748.73,4755.01,4748.73,2026-04-22 12:17:00,SL,-1.88,DYNAMIC_FVG,SSL,True
VAR2-EQ,2026-04-22 12:34:00+00:00,BUY,4753.4,4750.98,4755.01,4750.98,2026-04-22 12:35:00,SL,-2.43,DYNAMIC_FVG,SSL,True
VAR2-EQ,2026-04-22 13:42:00+00:00,BUY,4751.1,4746.2,4755.01,4755.01,2026-04-22 13:44:00,TP,3.91,DYNAMIC_FVG,SSL,True
VAR2-EQ,2026-04-22 13:58:00+00:00,BUY,4752.37,4750.01,4755.01,4755.01,2026-04-22 14:00:00,TP,2.64,DYNAMIC_FVG,SSL,True
VAR2-EQ,2026-04-24 02:34:00+00:00,BUY,4689.27,4682.77,4700.8,4682.77,2026-04-24 02:40:00,SL,-6.5,DYNAMIC_FVG,SSL,True
VAR2-EQ,2026-05-01 00:17:00+00:00,BUY,4625.88,4619.95,4629.27,4619.95,2026-05-01 00:36:00,SL,-5.93,DYNAMIC_FVG,SSL,True
VAR2-EQ,2026-05-01 00:46:00+00:00,BUY,4623.11,4619.75,4625.49,4619.75,2026-05-01 00:59:00,SL,-3.36,DYNAMIC_FVG,SSL,True
VAR2-EQ,2026-05-01 00:55:00+00:00,BUY,4624.66,4620.17,4625.49,4620.17,2026-05-01 00:59:00,SL,-4.49,DYNAMIC_FVG,SSL,True
VAR2-EQ,2026-05-01 02:05:00+00:00,BUY,4624.66,4618.89,4625.49,4625.49,2026-05-01 02:08:00,TP,0.82,DYNAMIC_FVG,SSL,True
VAR2-EQ,2026-05-01 03:25:00+00:00,BUY,4623.79,4619.76,4626.68,4626.68,2026-05-01 03:29:00,TP,2.89,DYNAMIC_FVG,SSL,True
VAR2-EQ,2026-05-05 00:05:00+00:00,SELL,4523.36,4525.18,4521.61,4525.18,2026-05-05 00:06:00,SL,-1.82,DYNAMIC_FVG,BSL,True
VAR2-EQ,2026-05-05 00:19:00+00:00,SELL,4523.47,4528.98,4523.45,4523.45,2026-05-05 00:20:00,TP,0.02,DYNAMIC_FVG,BSL,True
VAR2-EQ,2026-05-05 00:51:00+00:00,SELL,4527.4,4525.25,4523.45,4525.25,2026-05-05 00:52:00,SL,2.15,DYNAMIC_FVG,BSL,True
VAR2-EQ,2026-05-07 17:29:00+00:00,SELL,4699.36,4720.31,4692.14,4720.31,2026-05-08 07:06:00,SL,-20.95,DYNAMIC_FVG,BSL,True
VAR2-EQ,2026-05-07 17:31:00+00:00,SELL,4699.1,4704.64,4692.14,4704.64,2026-05-07 17:40:00,SL,-5.54,DYNAMIC_FVG,BSL,True
VAR2-EQ,2026-05-07 17:42:00+00:00,SELL,4703.89,4707.38,4702.65,4702.65,2026-05-07 17:43:00,TP,1.24,DYNAMIC_FVG,BSL,True
VAR2-EQ,2026-05-07 17:48:00+00:00,SELL,4701.9,4704.78,4692.14,4704.78,2026-05-07 17:55:00,SL,-2.88,DYNAMIC_FVG,BSL,True
VAR2-EQ,2026-05-08 10:28:00+00:00,SELL,4721.39,4724.98,4715.9,4724.98,2026-05-08 10:36:00,SL,-3.59,DYNAMIC_FVG,BSL,True
VAR2-EQ,2026-05-08 10:34:00+00:00,SELL,4722.32,4724.5,4719.71,4724.5,2026-05-08 10:36:00,SL,-2.18,DYNAMIC_FVG,BSL,True
VAR2-EQ,2026-05-08 10:51:00+00:00,SELL,4718.6,4725.45,4715.9,4715.9,2026-05-08 10:55:00,TP,2.7,DYNAMIC_FVG,BSL,True
VAR2-EQ,2026-05-08 11:11:00+00:00,SELL,4720.72,4726.23,4719.71,4726.23,2026-05-08 12:47:00,SL,-5.51,DYNAMIC_FVG,BSL,True
VAR2-EQ,2026-05-08 11:18:00+00:00,SELL,4722.22,4726.3,4719.71,4726.3,2026-05-08 12:47:00,SL,-4.09,DYNAMIC_FVG,BSL,True
VAR2-EQ,2026-05-08 13:05:00+00:00,SELL,4723.38,4730.14,4719.71,4719.71,2026-05-08 13:08:00,TP,3.66,DYNAMIC_FVG,BSL,True
