variation,entry_time,direction,entry_price,stop_loss,take_profit,exit_price,exit_time,outcome,pnl_points,tp_mode,pool_type,is_equal_pool
VAR1,2026-04-22 20:40:00+00:00,BUY,4737.63,4735.27,4742.1,4742.1,2026-04-22 22:05:00,TP,4.47,DYNAMIC_POOL,SSL,True
VAR1,2026-04-23 00:50:00+00:00,SELL,4748.32,4755.2,4744.32,4744.32,2026-04-23 01:00:00,TP,4.0,FIXED,BSL,False
VAR1,2026-04-23 04:45:00+00:00,BUY,4702.4,4697.94,4707.65,4707.65,2026-04-23 05:00:00,TP,5.25,DYNAMIC_POOL,SSL,True
VAR1,2026-04-23 05:15:00+00:00,SELL,4707.18,4709.06,4701.28,4709.06,2026-04-23 05:20:00,SL,-1.88,DYNAMIC_POOL,BSL,True
VAR1,2026-04-23 05:20:00+00:00,SELL,4706.64,4710.51,4701.28,4701.28,2026-04-23 05:30:00,TP,5.36,DYNAMIC_POOL,BSL,False
VAR1,2026-04-23 05:30:00+00:00,SELL,4706.08,4708.28,4701.28,4701.28,2026-04-23 05:40:00,TP,4.8,DYNAMIC_POOL,BSL,True
VAR1,2026-04-23 06:45:00+00:00,SELL,4716.34,4721.35,4708.6,4721.35,2026-04-23 06:50:00,SL,-5.01,DYNAMIC_POOL,BSL,False
VAR1,2026-04-23 06:50:00+00:00,SELL,4714.45,4722.57,4708.6,4708.6,2026-04-23 07:00:00,TP,5.85,DYNAMIC_POOL,BSL,False
VAR1,2026-04-23 07:00:00+00:00,BUY,4712.96,4706.61,4718.35,4706.61,2026-04-23 07:20:00,SL,-6.35,DYNAMIC_POOL,SSL,False
VAR1,2026-04-23 08:10:00+00:00,SELL,4718.17,4721.85,4708.6,4721.85,2026-04-23 08:20:00,SL,-3.68,DYNAMIC_POOL,BSL,False
VAR1,2026-04-23 14:15:00+00:00,BUY,4724.14,4722.53,4738.59,4738.59,2026-04-23 15:15:00,TP,14.45,DYNAMIC_POOL,SSL,False
VAR1,2026-04-23 16:35:00+00:00,BUY,4728.15,4725.69,4736.06,4736.06,2026-04-23 16:45:00,TP,7.91,DYNAMIC_POOL,SSL,False
VAR1,2026-04-23 19:35:00+00:00,BUY,4692.85,4688.56,4696.85,4696.85,2026-04-23 19:45:00,TP,4.0,FIXED,SSL,False
VAR1,2026-04-23 20:15:00+00:00,BUY,4691.36,4685.72,4700.07,4700.07,2026-04-23 23:35:00,TP,8.71,DYNAMIC_POOL,SSL,False
VAR1,2026-04-23 20:30:00+00:00,BUY,4690.12,4688.4,4700.07,4688.4,2026-04-23 20:35:00,SL,-1.72,DYNAMIC_POOL,SSL,False
