created_at,action,reason,strategy_name
2026-07-13 08:00:06.665672+00:00,PAUSE,trend: session_vol: outside windows (8.00h UTC) | d1=ranging h4=short vol=NORMAL trend=MIXED session=LONDON closed=False,
2026-07-13 12:00:06.628132+00:00,START,"trend: session_vol: in window (12.00h UTC), vol=NORMAL | d1=ranging h4=short vol=NORMAL trend=MIXED session=LONDON closed=False",
2026-07-13 15:00:06.542239+00:00,PAUSE,trend: session_vol: outside windows (15.00h UTC) | d1=ranging h4=short vol=NORMAL trend=MIXED session=OVERLAP closed=False,
2026-07-13 21:00:06.512601+00:00,PAUSE,trend: market closed | d1=ranging h4=short vol=NORMAL trend=TRENDING session=ROLLOVER closed=True,S94 Sweep Reversal
2026-07-13 21:00:06.516640+00:00,PAUSE,trend: market closed | d1=ranging h4=short vol=NORMAL trend=TRENDING session=ROLLOVER closed=True,Challenge XAU H4 Trend
2026-07-13 21:00:06.520836+00:00,PAUSE,reversal: market closed | d1=ranging h4=short vol=NORMAL trend=TRENDING session=ROLLOVER closed=True,S99 MSS FVG Reversal
2026-07-13 21:00:06.524767+00:00,PAUSE,scalping: market closed | d1=ranging h4=short vol=NORMAL trend=TRENDING session=ROLLOVER closed=True,S93 FVG Scalp
2026-07-13 22:00:07.399072+00:00,START,trend: always_on: regime-independent | d1=ranging h4=short vol=NORMAL trend=TRENDING session=ROLLOVER closed=False,S94 Sweep Reversal
2026-07-13 22:00:07.403155+00:00,START,trend: always_on: regime-independent | d1=ranging h4=short vol=NORMAL trend=TRENDING session=ROLLOVER closed=False,Challenge XAU H4 Trend
2026-07-13 22:00:07.407364+00:00,START,reversal: always_on: regime-independent | d1=ranging h4=short vol=NORMAL trend=TRENDING session=ROLLOVER closed=False,S99 MSS FVG Reversal
2026-07-13 22:00:07.411180+00:00,START,scalping: always_on: regime-independent | d1=ranging h4=short vol=NORMAL trend=TRENDING session=ROLLOVER closed=False,S93 FVG Scalp
2026-07-14 01:00:06.530617+00:00,START,"trend: session_vol: in window (1.00h UTC), vol=NORMAL | d1=ranging h4=short vol=NORMAL trend=MIXED session=ASIA closed=False",
