label,strategy,model,cost,n,pts,pf,wr,train_n,train_pts,train_pf,test_n,test_pts,test_pf,maxdd,test_months,test_pos_share,test_max_share,gold_corr,up_pts,dn_pts,bar1_n,bar2_base,bar3_train,bar4_monthly,bar5_regime,n_outside_s5
s99_buf0.5_c0.75,s99_mss_fvg,mid_M1,1.0,2599,-2450.4,0.736,40.5,1469,-1212.3,0.689,1130,-1238.1,0.771,-2564.6,10,0.0,,0.09,-1553.9,-896.5,True,False,False,False,True,
s99_buf0.5_c0.75,s99_mss_fvg,quote_S5,0.45,2599,-1601.0,0.816,37.6,1469,-754.6,0.789,1130,-846.4,0.835,-1701.4,10,0.3,,0.1,-981.5,-619.5,True,False,False,False,True,0.0
s99_buf0.5_c0.75,s99_mss_fvg,quote_S5,0.7,2599,-2250.7,0.753,37.5,1469,-1121.9,0.706,1130,-1128.9,0.787,-2342.6,10,0.0,,0.1,-1423.8,-827.0,True,False,False,False,True,0.0
s99_buf1.0_c0.75,s99_mss_fvg,mid_M1,0.75,2731,-2963.1,0.765,39.3,1698,-1191.7,0.777,1033,-1771.4,0.757,-3033.5,10,0.0,,-0.29,-2020.7,-942.4,True,False,False,False,True,
s99_buf1.0_c0.75,s99_mss_fvg,mid_M1,1.0,2731,-3645.8,0.721,39.2,1698,-1616.2,0.712,1033,-2029.6,0.727,-3711.0,10,0.0,,-0.29,-2488.2,-1157.6,True,False,False,False,True,
s99_buf1.0_c0.75,s99_mss_fvg,quote_S5,0.45,2731,-2843.3,0.771,37.2,1698,-1013.3,0.805,1033,-1830.0,0.747,-2908.6,10,0.0,,-0.22,-1881.6,-961.7,True,False,False,False,True,0.0
s99_buf1.0_c0.75,s99_mss_fvg,quote_S5,0.7,2731,-3526.0,0.726,37.1,1698,-1437.8,0.737,1033,-2088.3,0.718,-3587.5,10,0.0,,-0.22,-2349.1,-1177.0,True,False,False,False,True,0.0
s99_buy_c0.75,s99_mss_fvg,mid_M1,0.75,982,-500.6,0.822,42.4,482,-245.7,0.77,500,-254.9,0.854,-561.1,10,0.3,,0.24,-283.6,-217.0,True,False,False,False,True,
s99_buy_c0.75,s99_mss_fvg,mid_M1,1.0,982,-746.1,0.748,42.3,482,-366.2,0.678,500,-379.9,0.791,-785.8,10,0.2,,0.22,-454.1,-292.0,True,False,False,False,True,
s99_buy_c0.75,s99_mss_fvg,quote_S5,0.45,982,-515.2,0.815,38.9,482,-207.5,0.799,500,-307.7,0.824,-566.2,10,0.3,,0.23,-268.1,-247.0,True,False,False,False,True,0.0
s99_buy_c0.75,s99_mss_fvg,quote_S5,0.7,982,-760.7,0.74,38.9,482,-328.0,0.702,500,-432.7,0.763,-796.0,10,0.2,,0.22,-438.6,-322.0,True,False,False,False,True,0.0
s99_ident_c0.75,s99_mss_fvg,mid_M1,0.75,1871,-940.2,0.834,42.1,910,-396.2,0.812,961,-544.0,0.847,-1026.5,10,0.2,,0.33,-421.3,-518.9,True,False,False,False,True,
s99_ident_c0.75,s99_mss_fvg,mid_M1,1.0,1871,-1407.9,0.763,42.1,910,-623.7,0.722,961,-784.2,0.788,-1469.4,10,0.1,,0.33,-734.3,-673.6,True,False,False,False,True,
s99_ident_c0.75,s99_mss_fvg,quote_S5,0.45,1871,-1001.2,0.822,38.2,910,-377.2,0.817,961,-624.0,0.825,-1093.4,10,0.4,,0.27,-470.3,-530.9,True,False,False,False,True,0.0
s99_ident_c0.75,s99_mss_fvg,quote_S5,0.7,1871,-1469.0,0.751,38.2,910,-604.7,0.726,961,-864.3,0.767,-1535.2,10,0.2,,0.27,-783.3,-685.6,True,False,False,False,True,0.0
s99_mingap0.25_c0.75,s99_mss_fvg,mid_M1,0.75,1756,-811.2,0.856,42.1,921,-364.1,0.834,835,-447.1,0.87,-884.0,10,0.1,,0.44,-244.7,-566.6,True,False,False,False,False,
s99_mingap0.25_c0.75,s99_mss_fvg,mid_M1,1.0,1756,-1250.2,0.787,42.0,921,-594.4,0.745,835,-655.8,0.815,-1307.7,10,0.1,,0.44,-544.9,-705.3,True,False,False,False,False,
s99_mingap0.25_c0.75,s99_mss_fvg,quote_S5,0.45,1756,-887.6,0.841,38.3,921,-357.8,0.834,835,-529.9,0.846,-953.1,10,0.2,,0.39,-310.6,-577.0,True,False,False,False,True,0.0
s99_mingap0.25_c0.75,s99_mss_fvg,quote_S5,0.7,1756,-1326.6,0.773,38.3,921,-588.0,0.744,835,-738.6,0.793,-1387.1,10,0.1,,0.39,-610.8,-715.8,True,False,False,False,True,0.0
s99_mingap0.5_c0.75,s99_mss_fvg,mid_M1,0.75,1267,-895.4,0.811,40.5,717,-257.2,0.863,550,-638.3,0.777,-961.1,10,0.3,,0.39,-282.6,-612.9,True,False,False,False,True,
s99_mingap0.5_c0.75,s99_mss_fvg,mid_M1,1.0,1267,-1212.2,0.754,40.4,717,-436.4,0.78,550,-775.8,0.737,-1265.5,10,0.1,,0.39,-497.6,-714.6,True,False,False,False,True,
s99_mingap0.5_c0.75,s99_mss_fvg,quote_S5,0.45,1267,-939.8,0.8,37.3,717,-251.2,0.863,550,-688.6,0.759,-1001.6,10,0.2,,0.33,-347.2,-592.6,True,False,False,False,True,0.0
