subset,gate,model,cost,split,n_total,n_aligned,n_against,admitted_frac,base_n,base_pf,base_pts,base_meanR,base_wr,al_n,al_pf,al_pts,al_meanR,al_wr,ag_n,ag_pf,ag_pts,ag_meanR,ag_wr,dR,p_flip,dR_lo,dR_hi,pf_lo,pf_hi,pts_lo,pts_hi,dR_in_c2_aligned,p_in_c2_aligned,dR_in_c2_against,p_in_c2_against
non_survivors,B5,mid,1.0,TEST,19000,9828,9172,0.517,19000,0.776,-12064.0,-0.2717,36.7,9828,0.797,-5649.1,-0.2646,37.0,9172,0.753,-6414.9,-0.2794,36.4,0.0149,0.6095,-0.0556,0.0579,0.72,0.834,-7608.1,-4427.5,-0.0982,0.016,0.0286,0.484
non_survivors,B6,mid,1.0,TEST,19000,4746,13236,0.25,19000,0.776,-12064.0,-0.2717,36.7,4746,0.827,-2609.0,-0.2511,37.9,13236,0.731,-9658.1,-0.2859,36.1,0.0348,0.1745,-0.052,0.0533,0.709,0.812,-7638.5,-4599.6,0.0759,0.039,-0.0785,0.038
non_survivors,C2,mid,1.0,TEST,19000,9774,9226,0.514,19000,0.776,-12064.0,-0.2717,36.7,9774,0.806,-5475.0,-0.2475,37.7,9226,0.743,-6589.0,-0.2974,35.7,0.05,0.099,-0.0589,0.0582,0.718,0.836,-7642.7,-4393.3,,,,
non_survivors,B1,q,0.45,ALL,37816,17161,16879,0.454,37816,0.836,-13944.4,-0.1791,39.0,17161,0.85,-6061.4,-0.1636,39.6,16879,0.813,-6811.3,-0.1898,38.6,0.0262,0.199,-0.039,0.0414,0.788,0.876,-8196.7,-4678.9,0.0314,0.212,0.0049,0.847
non_survivors,B2,q,0.45,ALL,37816,17269,20546,0.457,37816,0.836,-13944.4,-0.1791,39.0,17269,0.775,-8066.2,-0.1887,37.5,20546,0.88,-5876.3,-0.171,40.2,-0.0177,0.4085,-0.0415,0.0423,0.794,0.878,-8815.4,-5103.8,0.0163,0.519,-0.0262,0.339
non_survivors,B3,q,0.45,ALL,37816,21595,16218,0.571,37816,0.836,-13944.4,-0.1791,39.0,21595,0.875,-6338.0,-0.1749,39.8,16218,0.777,-7596.6,-0.1847,37.9,0.0098,0.637,-0.0385,0.0373,0.793,0.878,-8885.0,-5083.9,0.0416,0.101,-0.0313,0.217
non_survivors,B4,q,0.45,ALL,37816,17606,17132,0.466,37816,0.836,-13944.4,-0.1791,39.0,17606,0.862,-5473.0,-0.1591,40.1,17132,0.816,-7144.5,-0.1954,38.0,0.0363,0.077,-0.0412,0.0379,0.794,0.882,-8153.0,-4587.6,0.0461,0.078,0.0138,0.623
non_survivors,B5,q,0.45,ALL,37816,19633,18183,0.519,37816,0.836,-13944.4,-0.1791,39.0,19633,0.862,-6043.3,-0.1744,39.6,18183,0.807,-7901.1,-0.1841,38.3,0.0097,0.633,-0.0423,0.0366,0.792,0.878,-8925.1,-5151.3,-0.0391,0.109,-0.0062,0.804
non_survivors,B6,q,0.45,ALL,37816,9668,25990,0.256,37816,0.836,-13944.4,-0.1791,39.0,9668,0.888,-2751.7,-0.1476,41.2,25990,0.806,-10724.0,-0.1858,38.3,0.0382,0.0385,-0.0367,0.0364,0.792,0.871,-8437.8,-5046.3,0.0521,0.044,-0.0045,0.869
non_survivors,C2,q,0.45,ALL,37816,19609,18015,0.519,37816,0.836,-13944.4,-0.1791,39.0,19609,0.864,-6105.4,-0.1634,40.0,18015,0.803,-7816.5,-0.1969,37.8,0.0335,0.0875,-0.0375,0.0382,0.792,0.88,-8859.1,-5018.3,,,,
non_survivors,B1,q,0.45,TRAIN,18914,8582,8354,0.454,18914,0.785,-7565.4,-0.2044,39.6,8582,0.836,-2713.4,-0.1747,40.9,8354,0.759,-3598.8,-0.2157,38.8,0.041,0.1845,-0.0583,0.0614,0.744,0.854,-4096.7,-2270.4,0.0324,0.341,0.0466,0.274
non_survivors,B2,q,0.45,TRAIN,18914,8407,10507,0.444,18914,0.785,-7565.4,-0.2044,39.6,8407,0.722,-4067.6,-0.2223,37.6,10507,0.83,-3497.8,-0.19,41.2,-0.0323,0.2655,-0.0568,0.0561,0.737,0.837,-4703.7,-2826.7,-0.0176,0.624,-0.0385,0.315
non_survivors,B3,q,0.45,TRAIN,18914,10873,8039,0.575,18914,0.785,-7565.4,-0.2044,39.6,10873,0.814,-3966.1,-0.2037,40.2,8039,0.741,-3595.5,-0.2055,38.7,0.0019,0.954,-0.0547,0.0567,0.732,0.839,-4756.4,-2793.0,0.0218,0.537,-0.0315,0.404
non_survivors,B4,q,0.45,TRAIN,18914,8965,8391,0.474,18914,0.785,-7565.4,-0.2044,39.6,8965,0.859,-2320.8,-0.1669,41.5,8391,0.726,-4402.6,-0.2364,37.6,0.0696,0.017,-0.056,0.0564,0.742,0.85,-4258.5,-2451.6,0.0773,0.024,0.0878,0.031
non_survivors,B5,q,0.45,TRAIN,18914,9859,9055,0.521,18914,0.785,-7565.4,-0.2044,39.6,9859,0.81,-3465.3,-0.2004,40.2,9055,0.758,-4100.0,-0.2087,38.9,0.0083,0.7745,-0.0552,0.0555,0.733,0.837,-4714.9,-2819.8,0.0147,0.67,-0.0438,0.266
non_survivors,B6,q,0.45,TRAIN,18914,4926,12846,0.26,18914,0.785,-7565.4,-0.2044,39.6,4926,0.886,-1160.1,-0.1503,42.9,12846,0.758,-5466.3,-0.2118,38.7,0.0615,0.0245,-0.0546,0.056,0.746,0.854,-4232.5,-2349.3,0.0549,0.11,0.066,0.097
non_survivors,C2,q,0.45,TRAIN,18914,9887,8835,0.523,18914,0.785,-7565.4,-0.2044,39.6,9887,0.817,-3418.6,-0.1947,40.5,8835,0.747,-4124.2,-0.2174,38.4,0.0227,0.417,-0.0553,0.0536,0.732,0.838,-4753.9,-2809.1,,,,
non_survivors,B1,q,0.45,TEST,18902,8579,8525,0.454,18902,0.871,-6379.1,-0.1538,38.4,8579,0.86,-3347.9,-0.1525,38.4,8525,0.85,-3212.5,-0.1644,38.3,0.0119,0.69,-0.0555,0.0561,0.792,0.92,-4772.7,-1815.9,0.0257,0.521,-0.0339,0.404
non_survivors,B2,q,0.45,TEST,18902,8862,10039,0.469,18902,0.871,-6379.1,-0.1538,38.4,8862,0.812,-3998.6,-0.1567,37.4,10039,0.916,-2378.5,-0.151,39.2,-0.0057,0.846,-0.0568,0.0589,0.81,0.934,-4769.5,-1652.9,0.0532,0.152,-0.0183,0.648
non_survivors,B3,q,0.45,TEST,18902,10722,8179,0.567,18902,0.871,-6379.1,-0.1538,38.4,10722,0.919,-2372.0,-0.1457,39.4,8179,0.802,-4001.1,-0.1642,37.1,0.0186,0.5095,-0.0528,0.0534,0.812,0.933,-4731.9,-1586.3,0.0625,0.081,-0.0305,0.406
non_survivors,B4,q,0.45,TEST,18902,8641,8741,0.457,18902,0.871,-6379.1,-0.1538,38.4,8641,0.865,-3152.2,-0.1511,38.7,8741,0.879,-2742.0,-0.156,38.4,0.0049,0.862,-0.0552,0.0531,0.805,0.939,-4550.3,-1366.6,0.0246,0.524,-0.0558,0.183
non_survivors,B5,q,0.45,TEST,18902,9774,9128,0.517,18902,0.871,-6379.1,-0.1538,38.4,9774,0.899,-2578.0,-0.1482,39.0,9128,0.842,-3801.1,-0.1597,37.7,0.0115,0.7025,-0.0546,0.0557,0.808,0.935,-4829.9,-1593.8,-0.1035,0.005,0.0329,0.404
non_survivors,B6,q,0.45,TEST,18902,4742,13144,0.251,18902,0.871,-6379.1,-0.1538,38.4,4742,0.889,-1591.6,-0.1448,39.5,13144,0.839,-5257.7,-0.1605,37.9,0.0156,0.557,-0.0509,0.0523,0.796,0.914,-4877.6,-1984.1,0.0475,0.202,-0.0816,0.044
non_survivors,C2,q,0.45,TEST,18902,9722,9180,0.514,18902,0.871,-6379.1,-0.1538,38.4,9722,0.898,-2686.8,-0.1316,39.4,9180,0.842,-3692.3,-0.1772,37.3,0.0456,0.0995,-0.0544,0.057,0.808,0.938,-4800.5,-1542.5,,,,
non_survivors,B1,q,0.7,ALL,37816,17161,16879,0.454,37816,0.742,-23398.4,-0.2794,36.1,17161,0.759,-10351.6,-0.2626,36.9,16879,0.717,-11031.1,-0.2909,35.5,0.0283,0.177,-0.0438,0.0407,0.699,0.779,-12528.5,-8994.0,0.0357,0.165,0.0027,0.924
non_survivors,B2,q,0.7,ALL,37816,17269,20546,0.457,37816,0.742,-23398.4,-0.2794,36.1,17269,0.68,-12383.4,-0.2923,34.7,20546,0.789,-11012.8,-0.2686,37.3,-0.0237,0.258,-0.0423,0.0413,0.704,0.78,-13611.9,-9884.9,0.011,0.648,-0.0323,0.255
non_survivors,B3,q,0.7,ALL,37816,21595,16218,0.571,37816,0.742,-23398.4,-0.2794,36.1,21595,0.783,-11736.8,-0.2731,36.9,16218,0.682,-11651.1,-0.2879,35.2,0.0148,0.4485,-0.038,0.039,0.703,0.78,-13566.8,-9873.8,0.0479,0.057,-0.0279,0.296
non_survivors,B4,q,0.7,ALL,37816,17606,17132,0.466,37816,0.742,-23398.4,-0.2794,36.1,17606,0.768,-9874.5,-0.2586,37.5,17132,0.725,-11427.5,-0.296,35.1,0.0375,0.081,-0.0419,0.042,0.706,0.791,-12425.8,-8746.9,0.046,0.076,0.0133,0.666
non_survivors,B5,q,0.7,ALL,37816,19633,18183,0.519,37816,0.742,-23398.4,-0.2794,36.1,19633,0.767,-10951.6,-0.2738,36.7,18183,0.716,-12446.9,-0.2856,35.5,0.0118,0.549,-0.0412,0.0402,0.702,0.781,-13628.8,-9786.8,-0.0388,0.141,-0.0057,0.853
non_survivors,B6,q,0.7,ALL,37816,9668,25990,0.256,37816,0.742,-23398.4,-0.2794,36.1,9668,0.801,-5168.7,-0.2438,38.4,25990,0.71,-17221.5,-0.2877,35.4,0.044,0.0245,-0.0371,0.038,0.702,0.775,-12967.1,-9456.2,0.06,0.022,-0.0043,0.877
non_survivors,C2,q,0.7,ALL,37816,19609,18015,0.519,37816,0.742,-23398.4,-0.2794,36.1,19609,0.77,-11007.7,-0.2623,37.2,18015,0.711,-12320.2,-0.2987,34.9,0.0364,0.07,-0.0389,0.0392,0.704,0.782,-13448.3,-9774.1,,,,
non_survivors,B1,q,0.7,TRAIN,18914,8582,8354,0.454,18914,0.678,-12293.9,-0.3146,36.2,8582,0.727,-4858.9,-0.2831,37.6,8354,0.651,-5687.3,-0.327,35.2,0.0439,0.1465,-0.0593,0.0626,0.644,0.74,-6169.0,-4351.7,0.0327,0.345,0.05,0.236
non_survivors,B2,q,0.7,TRAIN,18914,8407,10507,0.444,18914,0.678,-12293.9,-0.3146,36.2,8407,0.613,-6169.3,-0.3364,34.4,10507,0.724,-6124.6,-0.2971,37.6,-0.0394,0.1715,-0.0594,0.0561,0.632,0.723,-7130.7,-5211.2,-0.0211,0.532,-0.0481,0.225
non_survivors,B3,q,0.7,TRAIN,18914,10873,8039,0.575,18914,0.678,-12293.9,-0.3146,36.2,10873,0.709,-6684.3,-0.3117,36.7,8039,0.63,-5605.3,-0.3186,35.5,0.0069,0.812,-0.0557,0.0561,0.633,0.725,-7103.0,-5158.2,0.0259,0.486,-0.0258,0.495
non_survivors,B4,q,0.7,TRAIN,18914,8965,8391,0.474,18914,0.678,-12293.9,-0.3146,36.2,8965,0.743,-4562.0,-0.2755,38.4,8391,0.627,-6500.3,-0.3475,34.3,0.072,0.014,-0.0574,0.0583,0.637,0.733,-6461.3,-4595.4,0.0807,0.025,0.0852,0.03
non_survivors,B5,q,0.7,TRAIN,18914,9859,9055,0.521,18914,0.678,-12293.9,-0.3146,36.2,9859,0.7,-5930.1,-0.3095,36.9,9055,0.654,-6363.8,-0.3201,35.5,0.0107,0.712,-0.0561,0.056,0.633,0.724,-7084.8,-5194.1,0.0189,0.548,-0.0483,0.234
non_survivors,B6,q,0.7,TRAIN,18914,4926,12846,0.26,18914,0.678,-12293.9,-0.3146,36.2,4926,0.781,-2391.6,-0.2552,39.5,12846,0.647,-8677.8,-0.324,35.3,0.0688,0.0135,-0.053,0.057,0.643,0.736,-6507.2,-4582.5,0.0608,0.117,0.0741,0.064
non_survivors,C2,q,0.7,TRAIN,18914,9887,8835,0.523,18914,0.678,-12293.9,-0.3146,36.2,9887,0.708,-5890.4,-0.303,37.3,8835,0.642,-6332.9,-0.3295,34.9,0.0265,0.3585,-0.0544,0.0583,0.631,0.725,-7085.5,-5146.1,,,,
non_survivors,B1,q,0.7,TEST,18902,8579,8525,0.454,18902,0.789,-11104.6,-0.2443,36.1,8579,0.782,-5492.7,-0.2421,36.1,8525,0.765,-5343.8,-0.2556,35.9,0.0135,0.6405,-0.0576,0.0571,0.715,0.832,-6903.2,-3997.9,0.0322,0.395,-0.0394,0.37
non_survivors,B2,q,0.7,TEST,18902,8862,10039,0.469,18902,0.789,-11104.6,-0.2443,36.1,8862,0.726,-6214.1,-0.2504,34.9,10039,0.837,-4888.2,-0.2388,37.1,-0.0116,0.708,-0.0619,0.0604,0.731,0.848,-7173.1,-3913.4,0.0464,0.239,-0.0232,0.575
non_survivors,B3,q,0.7,TEST,18902,10722,8179,0.567,18902,0.789,-11104.6,-0.2443,36.1,10722,0.838,-5052.5,-0.234,37.0,8179,0.719,-6045.8,-0.2577,34.8,0.0237,0.431,-0.0554,0.0561,0.732,0.847,-7170.1,-3960.3,0.0712,0.058,-0.0291,0.462
non_survivors,B4,q,0.7,TEST,18902,8641,8741,0.457,18902,0.789,-11104.6,-0.2443,36.1,8641,0.785,-5312.5,-0.241,36.6,8741,0.795,-4927.2,-0.2466,35.9,0.0056,0.8275,-0.0569,0.0595,0.727,0.856,-6657.5,-3459.9,0.0237,0.547,-0.0556,0.164
non_survivors,B5,q,0.7,TEST,18902,9774,9128,0.517,18902,0.789,-11104.6,-0.2443,36.1,9774,0.815,-5021.5,-0.2377,36.6,9128,0.761,-6083.1,-0.2513,35.5,0.0135,0.6195,-0.0557,0.0571,0.732,0.853,-7097.4,-3847.4,-0.109,0.001,0.0392,0.358
non_survivors,B6,q,0.7,TEST,18902,4742,13144,0.251,18902,0.789,-11104.6,-0.2443,36.1,4742,0.816,-2777.1,-0.2319,37.3,13144,0.754,-8543.7,-0.2523,35.5,0.0204,0.4215,-0.0508,0.0504,0.722,0.828,-7087.8,-4130.9,0.0566,0.128,-0.0872,0.018
non_survivors,C2,q,0.7,TEST,18902,9722,9180,0.514,18902,0.789,-11104.6,-0.2443,36.1,9722,0.815,-5117.3,-0.2209,37.2,9180,0.759,-5987.3,-0.2691,34.9,0.0482,0.1025,-0.0592,0.0585,0.727,0.851,-7247.2,-3867.5,,,,
