subset,gate,model,cost,split,n_aligned,n_against,dR_demeaned,p_flip,dR_lo,dR_hi,dR_in_c2_aligned,p_in_c2_aligned,dR_in_c2_against,p_in_c2_against
all15,C2,q,0.7,TEST,11201,10530,0.0383,0.1845,-0.0546,0.0549,,,,
survivors,B1,mid,0.75,ALL,3591,3224,0.0108,0.791,-0.0799,0.08,0.0294,0.606,-0.0258,0.665
survivors,B2,mid,0.75,ALL,2646,4977,0.038,0.329,-0.0775,0.0779,-0.0501,0.292,0.1282,0.029
survivors,B3,mid,0.75,ALL,5830,1792,-0.1044,0.0065,-0.0775,0.0743,-0.043,0.399,-0.1643,0.004
survivors,B4,mid,0.75,ALL,3536,3426,0.0813,0.0355,-0.0756,0.0749,0.1486,0.006,0.0049,0.944
survivors,B5,mid,0.75,ALL,3890,3733,0.0139,0.71,-0.0711,0.0777,0.0378,0.48,-0.1002,0.085
survivors,B6,mid,0.75,ALL,2751,4317,-0.0289,0.4845,-0.0768,0.0798,-0.0015,0.978,-0.0758,0.185
survivors,C2,mid,0.75,ALL,3952,3600,0.0377,0.3375,-0.0771,0.0765,,,,
survivors,B1,mid,0.75,TRAIN,2269,2001,-0.0048,0.921,-0.0975,0.0974,0.0323,0.631,-0.0635,0.407
survivors,B2,mid,0.75,TRAIN,1659,3121,0.0219,0.662,-0.0897,0.0958,-0.0798,0.241,0.122,0.078
survivors,B3,mid,0.75,TRAIN,3652,1127,-0.0852,0.0735,-0.0923,0.0963,-0.0078,0.905,-0.158,0.027
survivors,B4,mid,0.75,TRAIN,2250,2081,0.1327,0.0045,-0.0932,0.0888,0.1893,0.006,0.0537,0.464
survivors,B5,mid,0.75,TRAIN,2441,2339,0.0345,0.4595,-0.0924,0.0887,0.0901,0.183,-0.1139,0.105
survivors,B6,mid,0.75,TRAIN,1723,2691,-0.0249,0.5795,-0.0934,0.0887,0.0307,0.664,-0.0996,0.156
survivors,C2,mid,0.75,TRAIN,2465,2244,0.05,0.2815,-0.0906,0.0897,,,,
survivors,B1,mid,0.75,TEST,1322,1223,0.0394,0.589,-0.1349,0.1439,0.0141,0.887,0.071,0.482
survivors,B2,mid,0.75,TEST,987,1856,0.0669,0.3355,-0.1316,0.1366,0.011,0.899,0.1315,0.15
survivors,B3,mid,0.75,TEST,2178,665,-0.1394,0.0445,-0.1397,0.126,-0.1009,0.263,-0.1811,0.08
survivors,B4,mid,0.75,TEST,1286,1345,0.0067,0.9125,-0.1334,0.1351,0.1124,0.185,-0.0804,0.43
survivors,B5,mid,0.75,TEST,1449,1394,-0.0217,0.7345,-0.1253,0.1261,-0.0716,0.421,-0.0431,0.659
survivors,B6,mid,0.75,TEST,1028,1626,-0.0369,0.601,-0.1397,0.1349,-0.0671,0.439,-0.0024,0.986
survivors,C2,mid,0.75,TEST,1487,1356,0.012,0.866,-0.1215,0.1301,,,,
survivors,B1,mid,1.0,ALL,3591,3224,0.0093,0.815,-0.0812,0.0795,0.0302,0.604,-0.0279,0.613
survivors,B2,mid,1.0,ALL,2646,4977,0.038,0.343,-0.0774,0.0761,-0.0505,0.357,0.1264,0.023
survivors,B3,mid,1.0,ALL,5830,1792,-0.1054,0.009,-0.0782,0.0812,-0.0444,0.416,-0.1645,0.004
survivors,B4,mid,1.0,ALL,3536,3426,0.0779,0.04,-0.0754,0.0723,0.1453,0.008,0.0027,0.977
survivors,B5,mid,1.0,ALL,3890,3733,0.0122,0.755,-0.0773,0.0792,0.041,0.432,-0.1044,0.061
survivors,B6,mid,1.0,ALL,2751,4317,-0.0306,0.449,-0.0788,0.0751,-0.001,0.978,-0.0786,0.188
survivors,C2,mid,1.0,ALL,3952,3600,0.0351,0.366,-0.07,0.0749,,,,
survivors,B1,mid,1.0,TRAIN,2269,2001,-0.0059,0.902,-0.0928,0.0981,0.0326,0.649,-0.0634,0.389
survivors,B2,mid,1.0,TRAIN,1659,3121,0.0225,0.6505,-0.0946,0.091,-0.0796,0.208,0.1206,0.09
survivors,B3,mid,1.0,TRAIN,3652,1127,-0.0879,0.054,-0.0861,0.0903,-0.0116,0.876,-0.1591,0.018
survivors,B4,mid,1.0,TRAIN,2250,2081,0.1306,0.008,-0.0948,0.0949,0.1878,0.002,0.0533,0.46
survivors,B5,mid,1.0,TRAIN,2441,2339,0.0322,0.489,-0.0904,0.0917,0.0943,0.132,-0.1203,0.086
survivors,B6,mid,1.0,TRAIN,1723,2691,-0.0267,0.5655,-0.0936,0.0981,0.0295,0.694,-0.0997,0.165
survivors,C2,mid,1.0,TRAIN,2465,2244,0.0468,0.3135,-0.0946,0.0889,,,,
survivors,B1,mid,1.0,TEST,1322,1223,0.0375,0.587,-0.1296,0.1307,0.0132,0.874,0.0694,0.53
survivors,B2,mid,1.0,TEST,987,1856,0.0663,0.336,-0.1332,0.1331,0.0113,0.888,0.1282,0.185
survivors,B3,mid,1.0,TEST,2178,665,-0.1379,0.047,-0.131,0.1406,-0.0983,0.284,-0.1806,0.068
survivors,B4,mid,1.0,TEST,1286,1345,0.003,0.9565,-0.1323,0.1358,0.1119,0.206,-0.0864,0.396
survivors,B5,mid,1.0,TEST,1449,1394,-0.0225,0.748,-0.1317,0.1277,-0.0724,0.412,-0.0388,0.732
survivors,B6,mid,1.0,TEST,1028,1626,-0.0384,0.58,-0.1364,0.1268,-0.0663,0.479,-0.0059,0.961
survivors,C2,mid,1.0,TEST,1487,1356,0.0096,0.889,-0.1308,0.1315,,,,
survivors,B1,q,0.45,ALL,3591,3210,0.0394,0.35,-0.0831,0.0867,0.0746,0.206,-0.0213,0.751
